City,State,Zip,Aspergillus flavus/oryzae,Aspergillus fumigatus,Aspergillus niger,Aspergillus ochraceus,Aspergillus penicillioides,Aspergillus restrictus*,Aspergillus sclerotiorum,Aspergillus sydowii,Aspergillus unguis,Aspergillus versicolor,Aureobasidium pullulans,Chaetomium globosum,Cladosporium sphaerospermum,Eurotium (Asp.) amstelodami*,Paecilomyces variotii,Penicillium brevicompactum,Penicillium corylophilum,Penicillium crustosum*,Penicillium purpurogenum,Penicillium spinulosum*,Penicillium variabile,Scopulariopsis brevicaulis/fusca,Scopulariopsis chartarum,Stachybotrys chartarum,Trichoderma viride*,Wallemia sebi,Acremonium strictum,Alternaria alternata,Aspergillus ustus,Cladosporium cladosporioides 1,Cladosporium cladosporioides 2,Cladosporium herbarum,Epicoccum nigrum,Mucor amphibiorum*,Penicillium chrysogenum,Rhizopus stolonifer,ERMI Score (Group I - Group II),Circulatory_loworreactivebloodpressure
Jersey City,New Jersey,7307,0,0,18,0,73,0,0,0,0,0,1523,0,0,118,0,6,0,0,0,0,0,0,0,0,0,4,4,5,0,66,3,5,19,11,0,0,3.1,0
Trenton,New Jersey,8610,3,15,1761,22,1158,84,223,25,117,88,2133,14,163,224,107,231,336,0,76,33,94,14,15,160,100,53,14,17,240,1784,13,58,322,12,19,0,32.8,0
Cherry Hill,New Jersey,08003-3132,0,8,94,16,637,56,40,111,15,148,901,182,408,403,0,69,220,52,0,0,37,3,4,8,34,76,14,5,6,1120,2112,65,314,92,197,0,21.5,0
Milford,New Jersey,8848,0,10,138,13,371,16,63,11,0,112,3974,29,305,489,3,245,19,8,0,2,4,17,46,3,3,75,21,185,0,6818,288,847,8609,49,54,7,13.9,0
Chester,New Jersey,7930,0,27,106,5,0,40,75,0,10,355,787,9,79,2866,4,352,371,21,0,0,10,2,44,0,51,123,19,10,0,0,0,0,146,51,33,0,22.1,0
Mountainside,New Jersey,07092-2006,0,4,40,3,0,5,68,0,0,52,206,3,53,634,11,40,71,0,10,0,196,0,12,10,13,11,2,3,30,0,0,0,45,5,141,34,15.9,0
Cherry Hill,New Jersey,8003,0,0,57,12,0,13,6,0,0,22,1486,68,219,473,10,50,12,0,0,0,12,25,7,3,114,68,27,23,9,0,0,0,906,13,19,0,13.1,0
Watchung,New Jersey,7069,24,43,327,14,0,56,50,0,3,385,2566,7,336,728,8,182,58,52,28,0,15,2,10,0,46,67,46,9,18,0,0,0,318,183,17,0,24.1,0
Franklin lakes,New Jersey,7417,3,285,263,5,0,20,20,0,0,33,4520,4,150,780,92,146,913,6,7,0,5,6,2,0,77,66,9,399,289,0,0,0,3887,108,1266,0,12.6,0
Bloomingdale,New Jersey,7403,0,4,11,68,0,14,30,0,1,113,3,1,7,3,12,74,249,0,2682,30,46,2,3,16,31,4,4,1,0,0,0,0,24,17,31,0,24.0,1
Santa Fe,New Mexico,87508,17,9,2461,16,373,35,11,0,3,137,37376,21,19,32551,16,1009,4,122,2,645,10,7,8,64,57,14,970,2,97,7042,121,3150,1052,793,281,65,18.9,0
Albuquerque,New Mexico,87108,0,2,17,0,0,0,6,0,0,0,2621,0,5,24,0,44,0,0,0,0,0,13,2,0,3,10,0,17,3,0,0,0,28,3,116,0,3.4,0
Santa fe,New Mexico,87506,0,0,0,0,0,0,0,0,0,22,0,48,0,0,0,0,0,0,0,0,0,0,0,5,0,140,0,0,0,0,0,0,0,0,0,0,22.0,0
Silver City,New Mexico,88061,0,0,10,19,0,0,13,12,0,846,8818,3,20,386,37212,12,7,0,0,0,210,0,246,42,3,5,0,40,119,0,0,0,8,3,38,0,18.7,0
West Hempstead,New York,11552,0,0,2,0,38,0,0,0,0,0,8,1,8,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,9,1,1,1,0,0,3.972,0
Ithaca,New York,14850,5,30,2708,80,5966,125,294,9,21,372,4701,20,1348,3413,23,893,66,107,49,14,16,135,127,5,63,68,28,69,25,8596,134,1295,736,190,10,159,30.9,0
Brooklyn,New York,11211,7,3,2397,0,277,60,3,25,173,0,747,6,6,512,506,130,382,14,0,5,106,2,2,0,720,8,2,5,70,296,4,19,111,29,36,10,22.7,0
Clifton Park,New York,12065,0,7,10,0,140,8,0,2,0,2,580,0,3,530,560,36,0,9,1,0,1,0,0,0,3,110,6,140,0,770,11,2000,58,12,1,3,5.76,0
Albany,New York,12203,0,6,27,0,76,0,0,0,0,0,58,8,31,11,0,0,0,0,0,0,6,0,0,0,10,4,0,0,0,389,8,0,18,7,0,0,6.1,0
RIDGEWOOD,New York,11385,64,25,774,240,2881,139,11,48,198,642,5439,19,1330,3111,209,868,1323,27,3,0,130,5,33,5,56,113,31,39,26,5657,81,264,249,26,30,0,34.8,1
NY,New York,10028,4,2,270,2,10,3,0,1,2,64,21,2,8,56,28,10,0,460,0,0,5,2,0,0,2,14,1,10,1,110,3,46,6,5,31,10,9.9,1
oceanside,New York,11572,0,4,18,27,370,18,41,64,25,181,209,64,50,356,43,104,198,0,0,8,23,4,12,29,7,73,3,3,71,406,38,26,22,267,303,3,21.6,0
Brooklyn,New York,11201,0,0,5,0,0,0,0,0,0,0,50,4,3,271,0,81,0,145,0,0,0,6,0,0,6,7,0,0,0,0,0,0,6,11,170,0,8.5,0
Brooklyn,New York,11201,3,4,227,0,0,0,31,0,0,0,1761,2,75,156,0,51,0,35,3,0,0,3,0,0,6,4,4,16,0,0,0,0,446,12,25,0,7.5,0
Brooklyn,New York,11231-5014,0,0,49,0,0,0,0,0,0,0,430,0,12,27,0,13,4,0,0,0,0,0,0,0,3,12,2,2,0,0,0,0,48,10,14,0,1.7,0
Brooklyn,New York,11210-5237,0,4,263,2,0,30,53,37,0,992,26864,59,164,171,13,23,52,0,33,4,20,0,10,5,14,55,0,11,52,0,0,0,21,3,30,0,24.4,0
Brooklyn,New York,11213-3491,2,30,399,0,0,0,0,0,0,0,1472,0,15,57,9,33,0,0,4,0,7,0,0,0,16,7,7,18,20,0,0,0,355,6,7,0,3.8,0
New York,New York,10013,2,5,45,0,0,6,0,9,0,0,796,0,7,46,31,15,2,0,0,0,3,0,0,0,11,6,5,16,21,0,0,0,23,2,39,0,6.8,0
Brooklyn,New York,11249,248,36,218,50,0,16,274,244,27,1130,4610,655,174,467,233,612,198,148,6,13,269,5,67,7,104,64,17,89,155,0,0,0,322,154,198,6,31.6,0
Patchogue,New York,11772-2950,0,15,23,7,0,16,50,12,0,51,1305,4,53,838,30,853,119,3736,6,125,9,0,2,0,19,113,15,18,10,0,0,0,577,10,96,0,20.9,0
Woodside,New York,11377,24,6,720,7,0,12,0,210,1,20,210,2,74,610,9,97,4,120,5,2,11,1,2,1,1,160,4,15,7,0,0,0,15,29,25,230,14.91,0
Hartsdale,New York,10530-1157,0,85,10,46,0,64,0,167,424,407,60,151,684,8,143,94,137,15,0,0,21,0,0,0,15,41,64,24,6,0,0,0,303,0,306,33,4301.0,1
New York,New York,10003,0,3,55,0,0,0,0,0,0,32,229,0,31,56,5,38,0,0,0,0,4,0,0,2,71,34,18,4,4,0,0,0,22,0,9,0,9.1,1
Sag Harbor,New York,11963,0,35,24,4,0,36,8,58,0,347,12179,16,75,288,9,242,706,6,105,7,43,0,4,7,14,161,16,49,57,0,0,0,921,93,252,0,18.7,0
Cortland,New York,13045,3,6,100,1,0,150,0,0,32,1100,130,3,100,4100,2,13,32,8,0,0,4,2,2,0,5,190,19,280,0,0,0,0,1300,69,32,1,8.57,0
Poughkeepsie,New York,12603-4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,12493.0,0
Brooklyn,New York,11226-3703,0,6,46,1,0,0,0,4,0,0,1400,1,24,71,15,4,0,25,0,0,5,0,0,1,0,16,100,2,1,0,0,0,83,3,25,5,2.73,0
Clayton,North Carolina,27520,8,5,10,0,141,6,0,0,0,0,5305,0,151,273,2,43,0,0,0,0,0,0,0,0,32,14,8,37,0,3928,20,58,1461,203,3,0,3.4,0
Cleveland,North Carolina,27013,3,7,38,96,901,64,142,0,0,172,1917,5,1499,1283,11,495,11,0,2,0,797,5,3,0,56,66,79,44,0,4293,44,150,4416,129,0,0,20.2,1
Charlotte,North Carolina,28278,0,0,402,0,18,0,0,0,0,3308,71,0,476,173,0,0,0,0,0,0,0,514,0,0,2384,203,0,254,0,2239,271,106,251,276,556,0,4.7,0
Charlotte,North Carolina,28204,0,40,76,12,896,73,8,13,17,66,12259,8,424,763,2062,236,84,13,6,0,25,4,2,0,12,75,5,24,10,3126,64,64,1116,172,9,0,23.3,0
Apex,North Carolina,27502,10,11,137,0,193,2,0,0,0,0,835,27,65,64,12,25,0,0,3,0,36,0,0,0,4,5,3,27,37,849,3,18,345,27,6,0,7.7,0
Apex,North Carolina,27523,0,0,23,0,155,8,0,6,0,0,488,29,125,983,6,7,0,0,0,0,23,8,0,0,3,10,0,6,64,307,3,8,89,10,35,0,8.9,0
Mint Hill,North Carolina,28227-8153,3,18,110,6,0,158,37,18,7,1669,1948,21,210,1631,8,42,160,0,0,0,28,0,12,2,52,43,17,9,71,0,0,0,520,152,11,3,21.8,1
Saxapahaw,North Carolina,27340,0,45,2,17,0,14,23,64,0,156,16,52,37,0,6,16,13,0,3,41,3,1,18,0,51,2,22,7,4,0,0,0,141,6,23,0,12.7,0
Winterville,North Carolina,28590-9163,82,3,33,10,0,51,3,37,0,125,531,13,3365,1271,4,33,9,0,0,0,13,0,8,0,13,80,4,108,0,0,0,0,1664,26,8,0,14.5,0
Mebane,North Carolina,27302,0,0,15,13,0,7,30,0,0,127,906,5,48,306,55,78,30,0,0,0,27,11,11,0,12,25,17,17,14,0,0,0,2441,50,58,0,11.3,0
Charlotte,North Carolina,28204-3306,4,9,66,2,0,21,0,6,5,0,10993,3,1043,424,53,140,269,7,5,0,13,6,5,0,93,55,7,161,4,0,0,0,3440,80,26,2,14.2,0
Asheville,North Carolina,28805-1342,2,7,69,8,0,62,16,46,0,360,140,3,300,610,9,21,51,21,1,0,200,8,14,3,5,630,34,13,0,0,0,0,200,26,24,1,19.99,0
Gastonia,North Carolina,28056-8416,0,0,0,0,0,0,0,0,0,0,38,79,114,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,473,27,0,0,-3.3,1
Charlotte,North Carolina,28277,26,31,138,0,0,17,24,139,76,132,5,0,10,3,132,46,30,0,3,619,7,276,1794,106,8,8,30,14,110,0,0,0,21,23,211,0,22.6,1
Walnut Cove,North Carolina,27052,47,0,8,0,0,57,17,305,17,0,46,11,1087,78,215,0,0,0,0,0,13,0,0,0,44,3,2878,348,0,0,0,0,3345,416,22,0,-0.3,0
Raleigh,North Carolina,27615-4079,0,8,7,2,0,37,34,3,2,64,785,22,409,92,51,12,72,8,0,0,12,5,2,21,21,66,3,26,5,0,0,0,324,78,27,0,17.0,0
Chapel Hill,North Carolina,27516-1511,0,13,33,5,0,5,0,0,0,42,2608,7,199,227,14,144,34,8,0,0,7,639,0,0,35,54,21,33,6,0,0,0,1209,27,115,7,11.4,0
Minot,North Dakota,58701,0,0,116,0,20,0,0,0,0,24,70413,3,5,182,0,15,0,7,0,0,0,4,0,14,416,17,22,535,0,691,4,3550,841,3,18,0,4.9,0
Bottineau,North Dakota,58318,0,19,136,0,0,13,0,0,0,173,10753,3,5,9918,10,98,28,15,8,8,15,90,32,0,176,1578,256,430,0,0,0,0,2972,53,5,0,16.9,0
Pugwash,Nova Scotia,B0K1L0,0,0,27,688,0,554,0,8,0,2401,2315,171,790,2475,0,1609,677,268,10,5,27,16,32,20,318,597,8,21,0,0,0,0,1474,434,1148,189,26.4,0
Beavercreek,Ohio,45430,0,2,47,3,6,0,2,0,0,0,3555,5,16,35,7,39,11,0,0,0,0,0,5,0,8,11,23,39,2,1654,6,81,4246,60,3,0,1.7,0
Akron,Ohio,44313,2,8,315,22,447,15,10,9,0,188,1176,0,125,495,103,266,141,6,8,5,22,0,10,4,28,58,48,35,13,1585,27,144,450,21,10,0,20.1,0
Cincinnati,Ohio,45255,0,3,59,2,49,0,10,0,0,0,932,9,76,130,76,37,29,0,0,0,3,0,3,0,5,29,11,49,0,2499,3,201,2125,69,337,3,3.9,0
Lakewood,Ohio,44107,0,0,0,0,0,24,0,0,0,0,3,0,1,4,0,0,0,0,0,374,113,0,7,0,3,8,0,0,0,0,0,0,1,1,74,0,6.726,1
West Chester,Ohio,45071,0,2,33,0,0,0,3,8,19,0,1807,58,33,53,12,30,11,0,4,0,0,3,2,0,168,26,9,32,12,0,0,0,1097,23,14,0,7.3,0
Fairview Park,Ohio,44126-1248,0,0,309,0,0,0,4,0,0,0,188,6,2,18,19,5,0,12,0,0,0,0,0,10,13,3,3,6,7,0,0,0,207,4,13,0,2.4,0
Rocky River,Ohio,44116,0,14,98,1,0,4,0,0,0,94,82,4,55,92,1,9,7,71,0,0,10,1,2,3,1,71,21,1,4,0,0,0,140,7,190,27,5.45,1
Aurora,Ohio,44202-7659,0,7,14,4,0,47,16,0,0,163,4279,19,42,190,19,49,28,26,3,0,0,12,2,7,7,100,21,87,73,0,0,0,3601,26,395,0,9.2,1
Loveland,Ohio,45140,140,12,354,36,0,31,4,0,0,206,1768,2,37,314,5,196,60,93,7,9,15,5,7,40,21,40,44,74,6,0,0,0,4077,505,35,0,17.8,0
Delaware,Ohio,43015,0,0,18,0,0,6,0,0,0,0,792,0,6,632,0,71,3,6,0,0,0,0,0,0,3,9,7,115,0,0,0,0,1230,8,0,0,0.5,0
Norwalk,Ohio,44857-2427,2,4,16,11,0,4,0,7,0,0,1947,7,13,191,10,16,82,12,0,0,2,4,0,0,10,113,16,54,0,0,0,0,1497,178,252,0,5.5,0
Cleves,Ohio,45002,6,12,43,231,0,310,0,0,0,111,51,5,81,744,7,186,0,9,0,33,15,9,31,0,16,296,130,4,4,0,0,0,338,56,47,0,18.2,0
Gibsonburg,Ohio,43431,1,11,9,2,0,10,1,0,0,67,760,14,11,400,6,1,4,11,0,0,2,1,1,0,1,140,840,130,0,0,0,0,2600,23,7,3,-0.89,0
Avon,Ohio,44011-1249,0,8,27,20,0,6,93,41,0,321,250,14,106,253,14,16,199,0,0,0,0,5,4,3,16,22,5,11,39,0,0,0,212,6,124,4,15.4,0
Rocky River,Ohio,44116,0,0,5,0,0,0,0,12,0,65,165,9,3,159,0,4,163,0,0,0,6,3,0,8,6,13,3,9,123,0,0,0,92,0,474,0,5.2,0
Avon Lake,Ohio,44012,0,0,35,4,0,0,6,0,0,30,719,0,64,64,0,12,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,90,4,7,0,4.8,0
Delaware,Ohio,43015-1274,4,8,73,85,0,14,10,0,0,460,2300,117,45,364,13,117,119,50,3,0,7,7,6,0,23,68,78,239,224,0,0,0,7211,7,25,0,13.7,0
Broken Arrow,Oklahoma,74011,4,3,556,5,6832,32,22,0,28,0,15458,2,55,280,15,22,17,0,2,0,17,5,5,3,42,24,23,349,8,3835,7,301,1522,25,6,0,14.5,0
Tulsa,Oklahoma,74135,10,0,208,0,322,33,27,0,0,171,5941,12,163,692,20,46,22,0,3,0,58,34,37,0,53,105,9,141,9,2268,9,177,500,11,4,0,19.4,0
Oklahoma city,Oklahoma,73150,0,9,103,9,56,0,0,0,3,26,8380,0,35,95,11,172,34,23,0,0,25,4,0,6,22,12,4,18,6,58,143,66,127,50,112,0,12.2,0
Ottawa,Ontario,K2K 2S4,0,0,32,0,35,0,0,0,0,2855,50,162,23,23,0,62,0,0,0,5587,104,0,0,0,0,103,146,0,0,530,54,1669,136,13,31,0,8.1,0
Greater Sudbury,Ontario,P3A 5P8,0,0,28,30,0,3,0,0,0,179,1689,0,5,857,0,139,19,76,0,0,0,9,2,5,6,42,4,35,0,0,0,0,247,33,259,0,8.6,0
North Lancaster,Ontario,K0C 1Z0,0,33,320,17,0,41,0,0,0,0,40569,0,180,839,8,868,8,65,2,5,20,7,6,0,56,104,1295,25,0,0,0,0,1419,30,6,3,16.8,0
Bradford,Ontario,L3Z 4K1,5,9,49,0,0,3,0,0,0,0,0,4,8,410,0,157,3,23,0,34,0,5,2,0,24,26,71,20,0,0,0,0,114,12,3,0,8.1,0
Oakville,Ontario,L6M 0H3,0,0,28,30,0,3,0,0,0,179,1689,0,5,857,0,139,19,76,0,0,0,9,2,5,6,42,4,35,0,0,0,0,247,33,259,0,8.6,0
New Liskeard,Ontario,P0J10,0,0,0,0,0,10,0,0,0,53,11190,3,3,563,0,7,81,130,3,8,0,0,0,14,34,12,2,16,0,0,0,0,289,46,76,0,10.6,1
St Thomas,Ontario,N5R 3S9,0,0,7,0,0,0,0,0,0,0,368,0,245,0,0,16,0,0,0,0,0,0,0,0,5,3,8,27,0,0,0,0,658,4,0,0,-1.3,0
Applegate,Oregon,97530,7,25,201,15,391,10,0,0,0,121,12669,1,2,10843,14,4803,6292,420,20,358,29,53,27,16,853,175,2030,85,10,14202,64,10945,1111,4354,101,1,20.0,0
Veneta,Oregon,97487,0,0,16,3,182,11,0,0,0,38,998,0,3,124,5,129,37,60,0,0,14,14,8,0,12,18,26,4,0,1139,83,187,148,340,4,0,9.1,0
Portland,Oregon,97203-4234,0,54,763,0,0,22,4,0,0,33,1130,53,137,1107,18,1173,919,83,15,9,14,4,26,0,43,172,163,3,4,0,0,0,52,97,113,3,21.0,0
Salem,Oregon,97306-6909,3,13,1400,0,0,20,0,10,1,150,350,2,6,310,3,72,7,110,5,1,12,2,3,1,3,170,6,21,0,0,0,0,60,16,75,8,12.5,0
Eugene,Oregon,97404,0,26,17,0,0,0,0,0,0,0,1755,0,3,10,8,7280,8,21,4,0,3,3,6,3,15,32,69,78,0,0,0,0,4730,10,0,7,2.0,0
St Helens,Oregon,97051-2723,2,9,39,0,0,12,0,0,0,0,560,0,0,100,7,34,15,23,0,0,0,0,0,0,12,99,0,17,0,0,0,0,28,8,170,1,4.16,1
Tualatin,Oregon,97062-9552,0,10,983,0,0,39,0,0,0,49,3271,19,640,461,144,1510,403,65,25,10,5,3,4,0,47,125,15,5,0,0,0,0,452,28,173,0,20.5,0
west linn,Oregon,97068,1,2,2,1,0,8,0,0,1,570,130,12,2,130,1,20,30,180,0,0,0,1,1,130,1,120,7,0,360,0,0,0,310,110,2200,1,2.88,0
Scio,Oregon,97374-9766,0,5,22,0,0,8,0,0,0,0,2630,0,5,1062,0,313,349,0,0,0,0,9,6,3,23,94,21,14,0,0,0,0,1458,19,18,0,6.5,0
Hood River,Oregon,97031,0,5,27,1,0,5,2,0,0,8,2900,9,23,50,0,10,57,170,0,0,1,0,1,4,0,34,50,4,3,0,0,0,91,9,180,5,2.8,0
Corvallis,Oregon,97333-2928,0,0,64,1,0,16,0,0,0,14,190,1,3,82,4,23,8,5,1,0,0,1,2,0,2,46,7,13,0,0,0,0,120,6,3,3,2.52,0
Portland,Oregon,97220,0,130,5200,250,0,1400,2,37,1,520,3300,3,26,11000,24,300,47,370,4,2,20,10,15,6,23,6500,29,120,1,0,0,0,570,79,700,12,21.63,0
Damascus,Oregon,97089-8860,0,20,24,2,0,35,0,0,0,31,220,11,10,250,12,66,570,13,0,1,5,2,2,1,4,54,8,33,3,0,0,0,2700,10,44,0,7.07,1
Corvallis,Oregon,97330,0,18,20,0,0,0,0,0,0,7,2418,0,10,135,67,203,10,23,4,95,6,3,11,0,50,7,12,2,0,0,0,0,15750,56,12,7,7.8,0
Cranberry Township,Pennsylvania,16066,0,9,13,22,418,0,7,0,0,0,171,10,9,3165,0,298,0,0,0,0,0,0,4,0,11,17,4,13,0,296,5,24,128,6,16,0,9.6,0
Uniontown,Pennsylvania,15401,0,2,49,2,420,13,3,5,0,290,180,2,32,330,0,3,8,2,0,0,4,2,7,2,0,390,9,18,9,220,7,130,220,8,39,0,9.28,0
Denver,Pennsylvania,17517,2,1100,6,52,6300,440,22,24,2,590,540,210,310,650,5,41,1100,100,13,0,63,39,42,1,56,1300,57,990,1,2900,32,3400,1100,39,15,0,27.68,0
Pittsburgh,Pennsylvania,15214,1,1,110,3,300,15,5,430,19,950,460,150,70,4100,53,11,260,220,1,1,4,19,2,71,19,290,27,4,7,370,35,620,100,12,6500,140,20.53,1
philadelphia,Pennsylvania,19106,7,3,40,0,81,7,0,51,0,19,130,1,9,50,1,11,2,12,0,0,12,0,1,0,0,67,57,1,0,360,2,380,56,1,37,1,8.25,0
Jenkintown,Pennsylvania,19046,0,1,4,0,18,0,1,4,0,39,27,1,5,43,5,270,0,120,0,0,1,0,0,0,0,6,5,13,0,77,2,35,13,2,320,180,2.08,0
DEVON,Pennsylvania,19333,1,15,65,20,0,3,3,0,0,26,130,8,170,150,20,74,58,4,0,0,15,2,3,1,0,61,17,300,4,0,0,0,250,71,36,1,6.57,0
New Kensington,Pennsylvania,15068,1,3,570,0,0,5,0,6,0,110,130,4,9,190,0,9,13,16,0,0,4,1,6,3,1,100,1,82,0,0,0,0,180,48,110,0,5.63,0
Pittsburgh,Pennsylvania,15222,0,7,117,0,0,4,0,0,0,0,210,8,6,273,0,38,37,8,0,0,8,0,0,0,17,6,0,3,0,0,0,0,104,9,21,0,8.9,1
Lewistown,Pennsylvania,17044,8,21,7500,22,0,560,10,5,6,1000,3400,5,650,790,9,230,2500,250,110,4,830,9,200,2,92,750,23,430,1,0,0,0,500,32,290,8,30.58,1
Downingtown,Pennsylvania,19335-4135,0,3,230,100,0,10,1,0,3,120,190,46,170,210,14,14,54,110,0,0,5,110,5,1,8,180,48,8,6,0,0,0,320,160,71,1,15.58,0
Boiling Springs,Pennsylvania,17007-9415,2,6,45,4,0,0,15,12,0,460,970,8,77,612,6,18,6,0,4,0,7,4,5,0,2,49,18,57,4,0,0,0,981,44,171,0,9.1,1
Shippensburg,Pennsylvania,17257,0,5,632,9,0,25,10,58,12,146,701,22,38,4368,14,1123,50,0,11,0,266,7,4,0,4,57,11,26,10,0,0,0,868,13,45,0,22.2,0
Woodlyn,Pennsylvania,19094-1013,10,23,198,38,0,11,118,133,8,130,1087,26,95,588,48,167,53,84,27,2,116,581,8,0,268,840,153,14,17,0,0,0,339,271,115,15,26.4,1
Folsom,Pennsylvania,19033-2211,10,80,213,14,0,16,5,31,6,0,3921,10,75,485,92,279,156,156,7,0,10,28,9,0,24,47,43,158,157,0,0,0,5738,45,11,3,15.0,0
Folsom,Pennsylvania,19033-2211,10,80,213,14,0,16,5,31,6,0,3921,10,75,485,92,279,156,156,7,0,10,28,9,0,24,47,43,158,157,0,0,0,5738,45,11,3,15.0,0
Downingtown,Pennsylvania,19335-2031,0,600,89,0,0,122,170,0,2,0,162,10,794,42,17,63,5,0,12,0,36,2,198,21,21,212,2335,306,0,0,0,0,4870,82,155,4,7.2,0
Carlisle,Pennsylvania,17013-1604,3,23,3087,25,0,36,33,0,0,62,20813,57,598,1300,38,472,23,64,92,5,9,24,20,12,262,256,110,635,3,0,0,0,12259,181,204,10,22.1,0
Phoenixville,Pennsylvania,19460,0,6,52,9,0,3,7,0,7,44,569,55,26,203,45,28,45,0,0,0,24,0,4,2,31,11,3,25,107,0,0,0,877,37,29,0,11.9,0
